"path","ignored","matching_rule"
".venv\placeholder.txt","True",".gitignore:35:.venv/	"".venv\\placeholder.txt"""
"data\golden\placeholder.csv","True",".gitignore:49:data/golden/	""data\\golden\\placeholder.csv"""
"data\archive_cache\placeholder.bin","True",".gitignore:50:data/archive_cache/	""data\\archive_cache\\placeholder.bin"""
"outputs\placeholder.json","True",".gitignore:52:outputs/	""outputs\\placeholder.json"""
"runs\placeholder.txt","True",".gitignore:53:runs/	""runs\\placeholder.txt"""
"mlruns\placeholder.txt","True",".gitignore:54:mlruns/	""mlruns\\placeholder.txt"""
"sa\placeholder.txt","True",".gitignore:55:sa/	""sa\\placeholder.txt"""
"cw\placeholder.txt","True",".gitignore:56:cw/	""cw\\placeholder.txt"""
"backups\placeholder.txt","True",".gitignore:58:backups/	""backups\\placeholder.txt"""
"model.safetensors","True",".gitignore:65:*.safetensors	model.safetensors"
"model.joblib","True",".gitignore:60:*.joblib	model.joblib"
